City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
104,Pundaguitan,PH,6.3711,126.1689,82.96,75,61,7.65,broken clouds
105,Harrisonburg,US,38.4496,-78.8689,83.17,78,97,8.3,heavy intensity rain
106,Vyritsa,RU,59.4078,30.3481,67.51,89,100,5.28,overcast clouds
107,Goderich,CA,43.7501,-81.7165,72.28,73,85,7.67,overcast clouds
108,Puerto Escondido,MX,15.85,-97.0667,86.83,66,40,11.5,scattered clouds
109,Coihaique,CL,-45.5752,-72.0662,48.15,29,20,4.61,few clouds
110,Nikolskoye,RU,59.7035,30.7861,67.89,91,100,4.5,overcast clouds
111,Aswan,EG,24.0934,32.907,94.87,11,16,9.66,few clouds
112,Kahta,TR,37.7855,38.6237,88.97,13,0,3.58,clear sky
113,Biak,ID,-0.9131,122.8766,75.16,90,91,6.64,overcast clouds
114,Gat,IL,31.61,34.7642,83.39,100,0,7.87,clear sky
115,Cidreira,BR,-30.1811,-50.2056,66.85,71,96,6.78,overcast clouds
116,Paris,FR,48.8534,2.3488,75.96,38,0,8.05,clear sky
117,Dikson,RU,73.5069,80.5464,41.41,95,100,14.09,overcast clouds
118,Spring Hill,US,28.4769,-82.5255,94.14,64,10,3.0,clear sky
119,Avarua,CK,-21.2078,-159.775,71.65,73,75,11.5,broken clouds
120,Klyuchi,RU,52.2667,79.1667,71.87,49,68,14.0,broken clouds
121,Cape Town,ZA,-33.9258,18.4232,60.91,71,0,11.5,clear sky
122,Pisco,PE,-13.7,-76.2167,64.45,77,20,10.36,few clouds
123,Nanortalik,GL,60.1432,-45.2371,44.64,82,68,5.46,broken clouds
124,Novopokrovskaya,RU,45.9514,40.7006,71.19,52,63,5.88,broken clouds
125,Miri,MY,4.4148,114.0089,75.6,90,96,3.6,overcast clouds
126,Kruisfontein,ZA,-34.0033,24.7314,52.88,90,39,2.28,scattered clouds
127,Ahipara,NZ,-35.1667,173.1667,58.03,90,74,18.81,broken clouds
128,Victoria,HK,22.2855,114.1577,86.95,79,4,8.01,clear sky
